super_opeid,opeid,institution_name,superopeid_name,multi
-1,2768,MARYMOUNT COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2796,POLYTECHNIC INSTITUTE OF NEW YORK UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2839,STATE UNIVERSITY OF NEW YORK DOWNSTATE MEDICAL CENTER,COLLEGES WITH INSUFFICIENT DATA,1
-1,2892,UNITED STATES MERCHANT MARINE ACADEMY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2896,VILLA MARIA COLLEGE OF BUFFALO,COLLEGES WITH INSUFFICIENT DATA,1
-1,2900,WEBB INSTITUTE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2935,LAUREL UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2948,MONTREAT COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2956,PIEDMONT INTERNATIONAL UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2963,,COLLEGES WITH INSUFFICIENT DATA,1
-1,2967,ST. ANDREWS PRESBYTERIAN COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3010,ANTIOCH UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3011,ART ACADEMY OF CINCINNATI,COLLEGES WITH INSUFFICIENT DATA,1
-1,3030,OHIO CHRISTIAN UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3031,CLEVELAND INSTITUTE OF MUSIC (THE),COLLEGES WITH INSUFFICIENT DATA,1
-1,3043,CHANCELLOR UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3076,MIAMI - JACOBS CAREER COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3113,PONTIFICAL COLLEGE JOSEPHINUM,COLLEGES WITH INSUFFICIENT DATA,1
-1,3114,FIRELANDS REGIONAL MEDICAL CENTER,COLLEGES WITH INSUFFICIENT DATA,1
-1,3115,RABBINICAL COLLEGE OF TELSHE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3141,WILBERFORCE UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3151,OKLAHOMA WESLEYAN UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3158,MURRAY STATE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3180,SOUTHWESTERN CHRISTIAN UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3183,SAINT GREGORY'S UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3199,MARYLHURST UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3203,MOUNT ANGEL SEMINARY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3207,PACIFIC NORTHWEST COLLEGE OF ART,COLLEGES WITH INSUFFICIENT DATA,1
-1,3208,NORTHWEST CHRISTIAN UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3225,WARNER PACIFIC COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3228,BRYN ATHYN COLLEGE OF THE NEW CHURCH,COLLEGES WITH INSUFFICIENT DATA,1
-1,3251,CURTIS INSTITUTE OF MUSIC,COLLEGES WITH INSUFFICIENT DATA,1
-1,3269,,COLLEGES WITH INSUFFICIENT DATA,1
-1,3300,MOORE COLLEGE OF ART AND DESIGN,COLLEGES WITH INSUFFICIENT DATA,1
-1,3309,PEIRCE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3311,SALUS UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3352,PHILADELPHIA COLLEGE OF OSTEOPATHIC MEDICINE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3360,ROSEMONT COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3364,SAINT CHARLES BORROMEO SEMINARY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3386,VALLEY FORGE MILITARY COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3396,WILSON COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3417,ALLEN UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3438,MEDICAL UNIVERSITY OF SOUTH CAROLINA,COLLEGES WITH INSUFFICIENT DATA,1
-1,3455,VOORHEES COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3467,PRESENTATION COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3477,AQUINAS COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3494,HIWASSEE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3498,LAMBUTH UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3506,MEHARRY MEDICAL COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3507,MEMPHIS COLLEGE OF ART,COLLEGES WITH INSUFFICIENT DATA,1
-1,3517,SOUTHERN COLLEGE OF OPTOMETRY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3556,COMMONWEALTH INSTITUTE OF FUNERAL SERVICE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3562,,COLLEGES WITH INSUFFICIENT DATA,1
-1,3579,JACKSONVILLE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3585,LON MORRIS COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3602,PAUL QUINN COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3617,SOUTHWESTERN BAPTIST THEOlOGICAL SEMINARY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3618,SOUTHWESTERN CHRISTIAN UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3635,TEXAS CHIROPRACTIC COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3643,,COLLEGES WITH INSUFFICIENT DATA,1
-1,3659,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,COLLEGES WITH INSUFFICIENT DATA,1
